eu_index,mean_EuCl_A,min_A,max_A,range_A,std_A,bond_length_distortion,cis_mean_deg,cis_abs_dev_mean_deg,cis_min_deg,cis_max_deg,trans_mean_deg,trans_abs_dev_mean_deg,trans_min_deg,trans_max_deg
0,2.740863300115828,2.4782353662233474,3.2133844860271554,0.735149119803808,0.2631426230729919,0.009217383295744527,89.73300601917914,5.42907363017772,80.73311050404051,99.55881005081064,167.69934390260093,12.30065609739909,166.57229043976264,168.60218975741668
1,2.7296355325849753,2.455865590182395,3.0373803930890877,0.5815148029066926,0.20790065824638854,0.005800993822605437,89.80664031971003,4.992053400434561,80.28986181638996,96.81452752887202,169.7570648473118,10.242935152688185,167.27726585735712,174.29880901852889
2,2.7662886701726905,2.6032496403266605,3.000983569795812,0.39773392946915154,0.13876344382424333,0.0025162578523285715,89.42710594052323,7.922328839950096,77.63178456351936,102.90986029794128,164.4743397332392,15.52566026676078,156.59715868168328,173.53080450849396
3,2.7375701129338688,2.6822593871547515,2.8389903435346797,0.15673095637992818,0.06205438975696706,0.0005138241547620479,89.84145985352099,4.346440503300223,81.09265012005386,98.83056867324589,170.2526532209058,9.747346779094167,167.69077117345486,173.85126431467077
