eu_index,eu_cl_mean_A,eu_cl_min_A,eu_cl_max_A,eu_cl_range_A,bond_length_distortion,cis_angle_mean_deg,cis_angle_abs_dev_from_90_deg,trans_angle_mean_deg,trans_angle_abs_dev_from_180_deg
0,2.682866144627342,2.6377631052139785,2.7146678807657363,0.07690477555175779,7.953870837071744e-05,90.01596180651137,2.1803241676641556,175.98843793394906,4.011562066050952
1,2.682866144627342,2.6377631052139785,2.714667880765736,0.07690477555175734,7.95387083707145e-05,90.01596180651138,2.180324167664152,175.98843793394917,4.011562066050857
2,2.682866144627342,2.6377631052139803,2.714667880765735,0.07690477555175468,7.953870837071234e-05,90.01596180651138,2.1803241676641556,175.9884379339491,4.0115620660508755
3,2.682866144627342,2.637763105213979,2.714667880765735,0.07690477555175601,7.953870837071598e-05,90.01596180651137,2.180324167664152,175.98843793394914,4.011562066050885
