eu_index,mean_EuCl_A,min_A,max_A,range_A,std_A,bond_length_distortion,cis_mean_deg,cis_abs_dev_mean_deg,trans_mean_deg,trans_abs_dev_mean_deg
0,2.682866144627342,2.6377631052139785,2.7146678807657363,0.07690477555175779,0.023927001245508013,7.953870837071744e-05,90.01596180651137,2.1803241676641547,175.98843793394906,4.011562066050942
1,2.682866144627342,2.637763105213979,2.714667880765736,0.0769047755517569,0.023927001245507708,7.953870837071538e-05,90.01596180651137,2.180324167664162,175.9884379339491,4.011562066050914
2,2.682866144627342,2.6377631052139803,2.714667880765735,0.07690477555175468,0.023927001245507333,7.953870837071291e-05,90.01596180651137,2.1803241676641583,175.9884379339491,4.011562066050914
3,2.682866144627342,2.6377631052139803,2.714667880765735,0.07690477555175468,0.023927001245507597,7.953870837071465e-05,90.01596180651137,2.180324167664164,175.98843793394906,4.011562066050961
